OPOName,OTCName,OTCServiceList,OPOProvider#,Address,City,State,ZIP,OPOTelephone#,OTCCode,Address,City,ZIP,OrganTransplantationCenterServiceTypeDescription,CommonRegionCode,CommonRegionName,CommonStateName,CommonStateAbbreviation,CommonStateFIPSCode,CommonStateCountyFIPSCode,CommonCountyName,CommonCityNamewithStateAbbreviation,CommonCongressionalDistrictName,CommonCongressNumberText,CommonStateFIPSCodeCongressionalDistrictNumber,CommonPostalCode,Longitude,Latitude,DataWarehouseRecordCreateDate,DataWarehouseRecordCreateDateText
We Are Sharing Hope SC,MUSC Children's Hospital, Heart,42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCCH,169 Ashley Ave,Charleston,29425,Heart,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94670417,32.78543003,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Kidney,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Pancreas,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Liver,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Intestine,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Heart,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
We Are Sharing Hope SC,Medical University of South Carolina," Heart, Intestine, Kidney, Liver, Lung, Pancreas",42P001,3950 Faber Place Dr Ste 300,Charleston,SC,29405-8516,843-763-7755,SCMU,171 Ashley Ave,Charleston,29425,Lung,4,Region 4,South Carolina,SC,45,45019,"Charleston County, SC","Charleston, SC",South Carolina District 06,115,4506,29425,-79.94679738,32.78563542,10/25/2018,10/25/2018
LifeSource Upper Midwest Organ Procurement Organization,Avera McKennan Hospital," Kidney, Liver, Pancreas",24P001,2225 W River Rd,Minneapolis,MN,55411-2228,612-800-6100,SDMK,1001 E 21st St Ste 302,Sioux Falls,57105,Kidney,8,Region 8,South Dakota,SD,46,46099,"Minnehaha County, SD","Sioux Falls, SD",South Dakota At Large,115,4600,57105,-96.71287306,43.53368852,10/25/2018,10/25/2018
LifeSource Upper Midwest Organ Procurement Organization,Avera McKennan Hospital," Kidney, Liver, Pancreas",24P001,2225 W River Rd,Minneapolis,MN,55411-2228,612-800-6100,SDMK,1001 E 21st St Ste 302,Sioux Falls,57105,Pancreas,8,Region 8,South Dakota,SD,46,46099,"Minnehaha County, SD","Sioux Falls, SD",South Dakota At Large,115,4600,57105,-96.71287306,43.53368852,10/25/2018,10/25/2018
LifeSource Upper Midwest Organ Procurement Organization,Avera McKennan Hospital," Kidney, Liver, Pancreas",24P001,2225 W River Rd,Minneapolis,MN,55411-2228,612-800-6100,SDMK,1001 E 21st St Ste 302,Sioux Falls,57105,Liver,8,Region 8,South Dakota,SD,46,46099,"Minnehaha County, SD","Sioux Falls, SD",South Dakota At Large,115,4600,57105,-96.71287306,43.53368852,10/25/2018,10/25/2018
LifeSource Upper Midwest Organ Procurement Organization,Sanford Health/USD Medical Center, Kidney,24P001,2225 W River Rd,Minneapolis,MN,55411-2228,612-800-6100,SDSV,1205 S Grange Ave Ste 201,Sioux Falls,57105,Kidney,8,Region 8,South Dakota,SD,46,46099,"Minnehaha County, SD","Sioux Falls, SD",South Dakota At Large,115,4600,57105,-96.74131838,43.53423236,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Baptist Memorial Hospital, Heart,44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNBM,6019 Walnut Grove Rd,Memphis,38120,Heart,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 08,115,4708,38120,-89.86088307,35.13080453,10/25/2018,10/25/2018
Tennessee Donor Services,Erlanger Medical Center, Kidney,44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNEM,975 E 3rd St,Chattanooga,37403,Kidney,4,Region 4,Tennessee,TN,47,47065,"Hamilton County, TN","Chattanooga, TN",Tennessee District 03,115,4703,37403,-85.29085076,35.04794435,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Le Bonheur Children's Medical Center," Heart, Kidney, Liver",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNLB,50 N Dunlap St,Memphis,38103,Kidney,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38103,-90.03311727,35.14259122,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Le Bonheur Children's Medical Center," Heart, Kidney, Liver",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNLB,50 N Dunlap St,Memphis,38103,Liver,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38103,-90.03311727,35.14259122,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Le Bonheur Children's Medical Center," Heart, Kidney, Liver",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNLB,50 N Dunlap St,Memphis,38103,Heart,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38103,-90.03311727,35.14259122,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Methodist University Hospital," Kidney, Liver, Pancreas",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNMH,1265 Union Ave,Memphis,38104,Kidney,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38104,-90.01915584,35.13708859,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Methodist University Hospital," Kidney, Liver, Pancreas",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNMH,1265 Union Ave,Memphis,38104,Pancreas,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38104,-90.01915584,35.13708859,10/25/2018,10/25/2018
Mid-South Transplant Foundation,Methodist University Hospital," Kidney, Liver, Pancreas",44P003,8001 Centerview Pkwy Ste 302,Cordova,TN,38018-4276,901-328-4438,TNMH,1265 Union Ave,Memphis,38104,Liver,4,Region 4,Tennessee,TN,47,47157,"Shelby County, TN","Memphis, TN",Tennessee District 09,115,4709,38104,-90.01915584,35.13708859,10/25/2018,10/25/2018
Tennessee Donor Services,Centennial Medical Center, Kidney,44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNPV,2300 Patterson St,Nashville,37203,Kidney,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37203,-86.80778449,36.15285275,10/25/2018,10/25/2018
Tennessee Donor Services,Saint Thomas Hospital," Heart, Kidney",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNST,4220 Harding Pike,Nashville,37205,Kidney,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37205,-86.84342481,36.12781847,10/25/2018,10/25/2018
Tennessee Donor Services,Saint Thomas Hospital," Heart, Kidney",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNST,4220 Harding Pike,Nashville,37205,Heart,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37205,-86.84342481,36.12781847,10/25/2018,10/25/2018
Tennessee Donor Services,University of Tennessee Medical Center at Knoxville, Kidney,44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNUK,1924 Alcoa Hwy,Knoxville,37920,Kidney,4,Region 4,Tennessee,TN,47,47093,"Knox County, TN","Knoxville, TN",Tennessee District 02,115,4702,37920,-83.94882794,35.93927951,10/25/2018,10/25/2018
Tennessee Donor Services,Vanderbilt University Medical Center and Nashville VA Medical Center," Heart, Kidney, Liver, Lung, Pancreas",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1211 22nd Ave,Nashville,37232,Kidney,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37232,-86.80181148,36.13863373,10/25/2018,10/25/2018
Tennessee Donor Services,Vanderbilt University Medical Center and Nashville VA Medical Center," Heart, Kidney, Liver, Lung, Pancreas",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1211 22nd Ave,Nashville,37232,Pancreas,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37232,-86.80181148,36.13863373,10/25/2018,10/25/2018
Tennessee Donor Services,Vanderbilt University Medical Center and Nashville VA Medical Center," Heart, Kidney, Liver, Lung, Pancreas",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1211 22nd Ave,Nashville,37232,Liver,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37232,-86.80181148,36.13863373,10/25/2018,10/25/2018
Tennessee Donor Services,Vanderbilt University Medical Center and Nashville VA Medical Center," Heart, Kidney, Liver, Lung, Pancreas",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1211 22nd Ave,Nashville,37232,Heart,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37232,-86.80181148,36.13863373,10/25/2018,10/25/2018
Tennessee Donor Services,Vanderbilt University Medical Center and Nashville VA Medical Center," Heart, Kidney, Liver, Lung, Pancreas",44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1211 22nd Ave,Nashville,37232,Lung,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37232,-86.80181148,36.13863373,10/25/2018,10/25/2018
Tennessee Donor Services,Nashville Veterans Administration Hospital, Kidney,44P001,1714 Hayes St,Nashville,TN,37203-3013,615-234-5251,TNVU,1310 24th Ave S,Nashville,37212,Kidney,4,Region 4,Tennessee,TN,47,47037,"Davidson County, TN","Nashville, TN",Tennessee District 05,115,4705,37212,-86.80476702,36.14233404,10/25/2018,10/25/2018
LifeGift Organ Donation Center,Baylor  Scott and White All Saints Medical Center-Fort Worth," Kidney, Liver, Pancreas, Pancreas Islet",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXAS,1400 8th Ave,Fort Worth,76104,Kidney,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.34377617,32.72976947,10/25/2018,10/25/2018
LifeGift Organ Donation Center,Baylor  Scott and White All Saints Medical Center-Fort Worth," Kidney, Liver, Pancreas, Pancreas Islet",45P003,2510 Westridge St,Houston,TX,77054-1508,713-523-4438,TXAS,1400 8th Ave,Fort Worth,76104,Pancreas,6,Region 6,Texas,TX,48,48439,"Tarrant County, TX","Fort Worth, TX",Texas District 12,115,4812,76104,-97.34377617,32.72976947,10/25/2018,10/25/2018
